id;first_name;last_name;birth_date;employee_number;hire_date
1;Корнил;Сысоева;2025-03-20;achieve;2025-03-19
2;Емельян;Костин;2025-03-19;gift;2025-03-19
3;Елизавета;Воронова;2025-03-19;fooey hm oof;2025-03-19
4;Мир;Харитонова;2025-03-19;both between;2025-03-19
5;Аггей;Сазонов;2025-03-20;soup;2025-03-20
6;Серафим;Сафонова;2025-03-19;despite;2025-03-20
7;Алина;Горбунов;2025-03-20;respectful;2025-03-20
8;Пантелеймон;Тетерин;2025-03-19;rout;2025-03-20
9;Агафья;Сысоева;2025-03-19;which over;2025-03-19
10;Фока;Матвеева;2025-03-19;mathematics;2025-03-20
